,arch,beta1,beta2,expert,dropout,end_idx,pad_idx,val_out,optimizer,scheduler,start_idx,beam_width,hidden_size,output_size,bidirectional,learning_rate,local_run_dir,decoder_layers,embedding_size,encoder_layers,label_smoothing,teacher_forcing,max_source_length,max_target_length,source_vocab_size,target_vocab_size,source_encoder_cls,features_vocab_size,features_encoder_cls,source_attention_heads,features_attention_heads,scheduler_kwargs/end_factor,scheduler_kwargs/start_factor,scheduler_kwargs/warmup_steps,scheduler_kwargs/min_learning_rate,scheduler_kwargs/total_decay_steps,scheduler_kwargs/reduceonplateau_mode,scheduler_kwargs/reduceonplateau_factor,scheduler_kwargs/check_val_every_n_epoch,scheduler_kwargs/reduceonplateau_patience,_step,lr-Adam,_runtime,val_loss,train_loss,trainer/global_step,epoch,_timestamp,val_accuracy.max,Name
2,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/dan.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,71,43,,28,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4075.680524587631,1.0484488010406494,0.6930252909660339,19999,799,1704218008.5576966,0.8899999856948853,dan.trn
3,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,45,True,0.001,/rc_scratch/adwi9965/decoder-only-results/bel.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,93,45,,54,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3763.2849848270416,2.870828151702881,0.7008726000785828,19999,799,1704217648.7792678,0.36800000071525574,bel.trn
4,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/afb.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,79,43,,31,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3541.655403614044,1.564241647720337,0.6962130665779114,19999,799,1704217427.1496775,0.75,afb.trn
5,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,47,True,0.001,/rc_scratch/adwi9965/decoder-only-results/arz.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,74,47,,27,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3611.605417251587,0.9442644119262696,0.70224529504776,19999,799,1704217497.0996013,0.8560000061988831,arz.trn
7,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_23,8,256,2,0.1,True,128,128,104,43,,62,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4978.354458332062,4.900764465332031,0.6902866959571838,19999,799,1703036936.7377903,0.17499999701976776,tur.trn
8,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,33,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_22,8,256,2,0.1,True,128,128,69,33,,37,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3902.8887736797337,3.811311006546021,0.6598730087280273,19999,799,1703035619.8706276,0.15199999511241913,sqi.trn
9,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,29,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_21,8,256,2,0.1,True,128,128,85,29,,57,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4526.31426358223,2.2039902210235596,0.6430439352989197,19999,799,1703035940.9198196,0.2080000042915344,swa.trn
10,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,34,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_20,8,256,2,0.1,True,128,128,69,34,,36,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3901.623360395431,3.794538736343384,0.6665552258491516,19999,799,1703034715.5572283,0.1889999955892563,sme.trn
11,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,37,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_19,8,256,2,0.1,True,128,128,80,37,,50,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4351.340791463852,4.623809814453125,0.6737834811210632,19999,799,1703035046.8642066,0.09600000083446504,spa.trn
12,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,37,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_18,8,256,2,0.1,True,128,128,58,37,,23,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3692.707680225372,3.0100960731506348,0.6771357655525208,19999,799,1703034295.9623165,0.33799999952316284,nav.trn
