"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","val_out","lr-Adam","train_loss","trainer/global_step","val_loss"
"georgian","0.9900000095367432","799","finished","-","adamits","","2023-12-16T04:53:58.000Z","4298","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","32","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_15","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","70","2","38","true","validation_preds","0.000447493366309618","0.6796157956123352","19999","0.7384684085845947"
"irish","0.9369999766349792","799","finished","-","adamits","","2023-12-16T05:54:06.000Z","4031","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_22","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","97","2","59","true","validation_preds","0.000447493366309618","0.7358351349830627","19999","0.911514401435852"
"danish","0.9580000042915344","799","finished","-","adamits","","2023-12-16T03:57:10.000Z","4733","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","20","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_8","128","128","adam","49","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","69","2","49","true","validation_preds","0.000447493366309618","0.7105076313018799","19999","0.7873071432113647"
"latin","0.8209999799728394","799","finished","-","adamits","","2023-12-16T06:26:52.000Z","4832","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_26","128","128","adam","60","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","88","2","60","true","validation_preds","0.000447493366309618","0.7445900440216064","19999","0.909958004951477"
"armenian","0.968999981880188","799","finished","-","adamits","","2023-12-16T03:22:14.000Z","3684","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","42","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_2","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","90","2","50","true","validation_preds","0.000447493366309618","0.7118604779243469","19999","0.8276242613792419"
"basque","0.9800000190734864","799","finished","-","adamits","","2023-12-16T03:26:41.000Z","3076","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_3","128","128","adam","23","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","58","2","23","true","validation_preds","0.000447493366309618","0.6140683889389038","19999","0.7961462736129761"
"polish","0.9300000071525574","799","finished","-","adamits","","2023-12-16T07:24:15.000Z","4914","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_32","128","128","adam","62","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","97","2","62","true","validation_preds","0.000447493366309618","0.7401537895202637","19999","0.9614270925521852"
"romanian","0.8769999742507935","799","finished","-","adamits","","2023-12-16T07:47:36.000Z","4737","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","34","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_35","128","128","adam","66","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","91","2","66","true","validation_preds","0.000447493366309618","0.7441954016685486","19999","1.1960362195968628"
"latvian","0.9819999933242798","799","finished","-","adamits","","2023-12-16T06:28:18.000Z","4152","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_27","128","128","adam","46","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","87","2","46","true","validation_preds","0.000447493366309618","0.7024911642074585","19999","0.7735397219657898"
"macedonian","0.9700000286102296","799","finished","-","adamits","","2023-12-16T06:53:09.000Z","3689","","decoder_only_transformer","1","0.9","0.98","true","4","0.3","256","2","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/decoder-only-results/sig-2017-decoder-only-4-layers-8-heads/version_29","128","128","adam","61","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","8","92","2","61","true","validation_preds","0.000447493366309618","0.7337635159492493","19999","0.8420445919036865"
