"Name","val_accuracy.max","epoch","State","Notes","User","Tags","Created","Runtime","Sweep","arch","beam_width","beta1","beta2","bidirectional","decoder_layers","dropout","embedding_size","encoder_layers","end_idx","features_attention_heads","features_vocab_size","hidden_size","label_smoothing","learning_rate","local_run_dir","max_source_length","max_target_length","optimizer","output_size","pad_idx","scheduler","scheduler_kwargs/check_val_every_n_epoch","scheduler_kwargs/end_factor","scheduler_kwargs/min_learning_rate","scheduler_kwargs/reduceonplateau_factor","scheduler_kwargs/reduceonplateau_mode","scheduler_kwargs/reduceonplateau_patience","scheduler_kwargs/start_factor","scheduler_kwargs/total_decay_steps","scheduler_kwargs/warmup_steps","source_attention_heads","source_encoder_cls","source_vocab_size","start_idx","target_vocab_size","teacher_forcing","lr-Adam","train_loss","trainer/global_step","val_loss"
"albanian","0.996999979019165","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3379","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","31","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","63","2","33","true","0.000447493366309618","0.6569945812225342","19999","0.6749445199966431"
"arabic","0.972000002861023","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3861","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","83","2","50","true","0.000447493366309618","0.7056734561920166","19999","0.7772555351257324"
"armenian","0.9810000061988832","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3379","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","42","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","90","2","50","true","0.000447493366309618","0.7054128646850586","19999","0.7872602939605713"
"basque","0.9900000095367432","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","2198","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","36","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","23","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","58","2","23","true","0.000447493366309618","0.6129556894302368","19999","0.6285917162895203"
"bengali","0.9900000095367432","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","1251","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","53","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","83","2","53","true","0.000674621632828213","0.7115397453308105","8799","0.7286063432693481"
"bulgarian","0.9829999804496764","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3417","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","36","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","69","2","36","true","0.000447493366309618","0.6675049662590027","19999","0.6946718096733093"
"catalan","0.9879999756813048","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3210","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","26","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","41","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","65","2","41","true","0.000447493366309618","0.6821023225784302","19999","0.7226161360740662"
"czech","0.9490000009536744","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3323","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","37","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","68","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","104","2","68","true","0.000447493366309618","0.7407667636871338","19999","0.8239039182662964"
"danish","0.9629999995231628","799","finished","-","adamits","","2023-12-17T23:24:29.000Z","3266","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","20","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_1","128","128","adam","49","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","69","2","49","true","0.000447493366309618","0.704314649105072","19999","0.7689182162284851"
"dutch","0.984000027179718","799","finished","-","adamits","","2023-12-17T23:45:37.000Z","3139","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_2","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","82","2","59","true","0.000447493366309618","0.7246139645576477","19999","0.7694090008735657"
"english","0.9629999995231628","799","finished","-","adamits","","2023-12-16T10:29:58.000Z","3053","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","11","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_0","128","128","adam","69","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","80","2","69","true","0.000447493366309618","0.7417545914649963","19999","0.8017532825469971"
"estonian","0.9959999918937684","799","finished","-","adamits","","2023-12-18T00:01:24.000Z","3280","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","40","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_3","128","128","adam","31","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","70","2","31","true","0.000447493366309618","0.6507626175880432","19999","0.6737767457962036"
"faroese","0.9160000085830688","799","finished","-","adamits","","2023-12-18T00:21:00.000Z","3127","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","30","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_7","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","68","2","38","true","0.000447493366309618","0.6778275966644287","19999","0.849547803401947"
"finnish","0.9610000252723694","799","finished","-","adamits","","2023-12-18T00:19:05.000Z","3704","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","41","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_5","128","128","adam","56","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","96","2","56","true","0.000447493366309618","0.7199360132217407","19999","0.7952412962913513"
"french","0.921999990940094","799","finished","-","adamits","","2023-12-18T00:20:04.000Z","3207","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_6","128","128","adam","50","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","68","2","50","true","0.000447493366309618","0.7081546187400818","19999","0.8743420839309692"
"georgian","0.9950000047683716","799","finished","-","adamits","","2023-12-18T00:29:01.000Z","3006","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","32","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_9","128","128","adam","38","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","70","2","38","true","0.000447493366309618","0.6733696460723877","19999","0.7015894651412964"
"german","0.9169999957084656","799","finished","-","adamits","","2023-12-18T00:21:00.000Z","3509","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","22","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_7","128","128","adam","71","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","91","2","71","true","0.000447493366309618","0.747901976108551","19999","0.8656144738197327"
"haida","0.9900000095367432","799","finished","-","adamits","","2023-12-18T00:21:38.000Z","1896","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","33","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_8","128","128","adam","34","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","66","2","34","true","0.0005273759897558777","0.660315215587616","14399","0.6842840313911438"
"hebrew","0.9929999709129332","799","finished","-","adamits","","2023-12-18T00:53:25.000Z","2604","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","28","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_11","128","128","adam","33","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","59","2","33","true","0.000447493366309618","0.6577030420303345","19999","0.6869252324104309"
"hindi","1","799","finished","-","adamits","","2023-12-18T00:38:08.000Z","3599","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","29","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_10","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","84","2","59","true","0.000447493366309618","0.7221457958221436","19999","0.7303599715232849"
"hungarian","0.8740000128746033","799","finished","-","adamits","","2023-12-18T00:56:16.000Z","3269","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_12","128","128","adam","61","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","100","2","61","true","0.000447493366309618","0.7298726439476013","19999","0.8916200995445251"
"icelandic","0.9300000071525574","799","finished","-","adamits","","2023-12-18T01:13:19.000Z","3187","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","25","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_14","128","128","adam","57","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","84","2","57","true","0.000447493366309618","0.7239829301834106","19999","0.8897579312324524"
"irish","0.9409999847412108","799","finished","-","adamits","","2023-12-18T01:08:44.000Z","3551","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","39","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_13","128","128","adam","59","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","97","2","59","true","0.000447493366309618","0.7274287343025208","19999","0.9071005582809448"
"italian","0.9819999933242798","799","finished","-","adamits","","2023-12-18T01:19:18.000Z","3309","","transformer","1","0.9","0.98","true","4","0.3","256","4","3","1","23","1024","0.1","0.001","/rc_scratch/adwi9965/ed-results/sig-2017-ed/version_16","128","128","adam","34","1","warmupinvsqrt","16","1","0","0.1","loss","10","0.3333333333333333","5","4000","4","TransformerEncoder","51","2","34","true","0.000447493366309618","0.6611316800117493","19999","0.7194876074790955"
